MPN,Manufacturer,Category,Description,Thermal_Conductivity,Thickness,Width,Length,Price_THB
MAX9722AETE+T,Analog Devices Inc./Maxim Integrated,Integrated Circuits (ICs),"Amplifier IC Headphones, 2-Channel (Stereo) Class AB 16-TQFN (3x3)",,,3 mm,3 mm,108.23
MAX9768BETG+T,Analog Devices Inc./Maxim Integrated,Integrated Circuits (ICs),Amplifier IC 1-Channel (Mono) Class D 24-TQFN (4x4),,,4 mm,4 mm,123.5
MAX9768ETG+T,Analog Devices Inc./Maxim Integrated,Integrated Circuits (ICs),Amplifier IC 1-Channel (Mono) Class D 24-TQFN (4x4),,,4 mm,4 mm,123.5
SP2000-0.015-00-58,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad White 19.05mm x 12.70mm Rectangular,3.5W/m-K,"0.0150"" (0.381mm)",,,124.48
MAX9737ETG+T,Analog Devices Inc./Maxim Integrated,Integrated Circuits (ICs),Amplifier IC 1-Channel (Mono) Class D 24-TQFN (4x4),,,4 mm,4 mm,124.48
MAX9737ETG+,Analog Devices Inc./Maxim Integrated,Integrated Circuits (ICs),Amplifier IC 1-Channel (Mono) Class D 24-TQFN (4x4),,,4 mm,4 mm,124.48
MP7770GF-Z,Monolithic Power Systems Inc.,Integrated Circuits (ICs),Amplifier IC 1-Channel (Mono) or 2-Channel (Stereo) Class D 28-TSSOP-EP,,,,,125.13
TG-A3500-40-40-5.0,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Yellow 40.00mm x 40.00mm Square Tacky - Both Sides,3.5W/m-K,"0.197"" (5.00mm)",,,125.13
60-12-20264-TW10,Parker Chomerics,"Fans, Blowers, Thermal Management",Thermal Pad Black 50.80mm x 12.70mm Rectangular Adhesive - Both Sides,-,"0.0130"" (0.330mm)",,,132.6
MP5991GLU-Z,Monolithic Power Systems Inc.,Integrated Circuits (ICs),Hot Swap Controller 1 Channel Networking 32-LGA (5x5),,,5 mm,5 mm,133.25
MAX14611ETD+T,Analog Devices Inc./Maxim Integrated,Integrated Circuits (ICs),Voltage Level Translator Bidirectional 1 Circuit 4 Channel 20Mbps 14-TDFN (3x3),,,3 mm,3 mm,139.1
MAX98400AETX+T,Analog Devices Inc./Maxim Integrated,Integrated Circuits (ICs),Amplifier IC 2-Channel (Stereo) Class D 36-TQFN (6x6),,,6 mm,6 mm,147.55
TPA1517DWPR,Texas Instruments,Integrated Circuits (ICs),Amplifier IC 2-Channel (Stereo) Class AB 20-HSOIC,,,,,148.53
MAX9703ETJ+T,Analog Devices Inc./Maxim Integrated,Integrated Circuits (ICs),Amplifier IC 1-Channel (Mono) Class D 32-TQFN (5x5),,,5 mm,5 mm,149.18
MAX6639ATE+T,Analog Devices Inc./Maxim Integrated,Integrated Circuits (ICs),"Fan Control, Temp Monitor 0°C ~ 150°C, External Sensor Internal and External Sensor I2C/SMBus Output 16-TQFN (5x5)",,,5 mm,5 mm,151.13
MAX3394EETA+T,Analog Devices Inc./Maxim Integrated,Integrated Circuits (ICs),Voltage Level Translator Bidirectional 1 Circuit 2 Channel 6Mbps 8-TDFN (3x3),,,3 mm,3 mm,152.1
04308,Vicor Corporation,Power Supplies - Board Mount,MINI MODULE THERMAL PAD,,,,,152.1
TG-AH486-100-100-1.0-0,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Gray 100.00mm x 100.00mm Square,3.2W/m-K,"0.0394"" (1.000mm)",,,154.05
ADP7183ACPZN-R7,Analog Devices Inc.,Integrated Circuits (ICs),Linear Voltage Regulator IC Negative Adjustable 1 Output 300mA 8-LFCSP (2x2),,,2 mm,2 mm,156.33
ADP7183ACPZN1.2-R7,Analog Devices Inc.,Integrated Circuits (ICs),Linear Voltage Regulator IC Negative Fixed 1 Output 300mA 8-LFCSP (2x2),,,2 mm,2 mm,156.33
ADP7183ACPZN3.3-R7,Analog Devices Inc.,Integrated Circuits (ICs),Linear Voltage Regulator IC Negative Fixed 1 Output 300mA 8-LFCSP (2x2),,,2 mm,2 mm,156.33
ADP7183ACPZN2.5-R7,Analog Devices Inc.,Integrated Circuits (ICs),Linear Voltage Regulator IC Negative Fixed 1 Output 300mA 8-LFCSP (2x2),,,2 mm,2 mm,156.33
TG-A1250-30-30-2.0,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Green 30.00mm x 30.00mm Square,12.5W/m-K,"0.0790"" (2.000mm)",,,159.58
MAX6639FATE+,Analog Devices Inc./Maxim Integrated,Integrated Circuits (ICs),"Fan Control, Temp Monitor 0°C ~ 150°C, External Sensor Internal and External Sensor I2C/SMBus Output 16-TQFN (5x5)",,,5 mm,5 mm,169.0
573100D00000G,"Boyd Laconia, LLC","Fans, Blowers, Thermal Management",Heat Sink TO-252 (DPak) Aluminum 0.8W @ 30°C Top Mount,,"0.400"" (10.16mm)","0.900"" (22.86mm)","0.315"" (8.00mm)",169.65
TG-A1250-25-25-3.0,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Green 25.00mm x 25.00mm Square,12.5W/m-K,"0.118"" (3.00mm)",,,169.98
MAX98400BETG+T,Analog Devices Inc./Maxim Integrated,Integrated Circuits (ICs),Amplifier IC 2-Channel (Stereo) Class D 24-TQFN (4x4),,,4 mm,4 mm,176.8
TG-A1780-25-25-0.5,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Gray 25.00mm x 25.00mm Square,17.8W/m-K,"0.0197"" (0.500mm)",,,178.75
MAX3378EETD+T,Analog Devices Inc./Maxim Integrated,Integrated Circuits (ICs),Voltage Level Translator Bidirectional 1 Circuit 4 Channel 16Mbps 14-TDFN (3x3),,,3 mm,3 mm,183.95
MAX5903NNETT+T,Analog Devices Inc./Maxim Integrated,Integrated Circuits (ICs),Hot Swap Controller 1 Channel General Purpose 6-TDFN (3x3),,,3 mm,3 mm,205.73
SSM2518CPZ-R7,Analog Devices Inc.,Integrated Circuits (ICs),Amplifier IC 2-Channel (Stereo) Class D 20-LFCSP (4x4),,,4 mm,4 mm,208.65
MAX9736AETJ+T,Analog Devices Inc./Maxim Integrated,Integrated Circuits (ICs),Amplifier IC 1-Channel (Mono) or 2-Channel (Stereo) Class D 32-TQFN (7x7),,,7 mm,7 mm,209.3
IRS2052MTRPBF,Infineon Technologies,Integrated Circuits (ICs),Amplifier IC 2-Channel (Stereo) Class D 48-MLPQ (7x7),,,7 mm,7 mm,211.58
4051100100017,Würth Elektronik,"Fans, Blowers, Thermal Management",Thermal Pad 100.00mm x 100.00mm Square Acrylic,1800W/m-K,"0.0015"" (0.037mm)",,,217.75
TG-A1250-40-40-1.5,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Green 40.00mm x 40.00mm Square,12.5W/m-K,"0.0591"" (1.500mm)",,,222.63
COH-1706-200-05,Taica North America Corporation,"Fans, Blowers, Thermal Management",Thermal Pad Gray 200.00mm x 200.00mm Square Tacky - Both Sides,1.7W/m-K,"0.0200"" (0.508mm)",,,225.88
01777,Vicor Corporation,Power Supplies - Board Mount,THERMAL PADS VI-200S,,,,,231.08
MAX9744ETH+T,Analog Devices Inc./Maxim Integrated,Integrated Circuits (ICs),Amplifier IC 2-Channel (Stereo) Class D 44-TQFN (7x7),,,7 mm,7 mm,233.35
MAX9744ETH+,Analog Devices Inc./Maxim Integrated,Integrated Circuits (ICs),Amplifier IC 2-Channel (Stereo) Class D 44-TQFN (7x7),,,7 mm,7 mm,243.1
TG-A1780-30-30-0.5,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Gray 30.00mm x 30.00mm Square,17.8W/m-K,"0.0197"" (0.500mm)",,,252.2
MAX31865ATP+,Analog Devices Inc./Maxim Integrated,Integrated Circuits (ICs),Temp Monitoring System (Sensor) External Sensor SPI Output 20-TQFN (5x5),,,5 mm,5 mm,246.96
TPA3106D1VFPR,Texas Instruments,Integrated Circuits (ICs),Amplifier IC 1-Channel (Mono) Class D 32-HLQFP (7x7),,,7 mm,7 mm,267.8
TG-A6200F-100-100-0.5,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Blue 100.00mm x 100.00mm Square Tacky - One Side,5.0W/m-K,"0.0197"" (0.500mm)",,,273.98
MAX31865ATP+T,Analog Devices Inc./Maxim Integrated,Integrated Circuits (ICs),Temp Monitoring System (Sensor) External Sensor SPI Output 20-TQFN (5x5),,,5 mm,5 mm,292.83
7109DG,"Boyd Laconia, LLC","Fans, Blowers, Thermal Management",Heat Sink TO-263 (D²Pak) Copper 2.0W @ 30°C Top Mount,,"0.450"" (11.43mm)","1.000"" (25.40mm)","0.763"" (19.38mm)",294.78
ADT7462ACPZ-REEL,onsemi,Integrated Circuits (ICs),"Fan Control, Temp Monitor -40°C ~ 125°C, External Sensor Internal and External Sensor SMBus Output 32-LFCSP-VQ (5x5)",,,5 mm,5 mm,295.43
ADP1761ACPZ-R7,Analog Devices Inc.,Integrated Circuits (ICs),Linear Voltage Regulator IC Positive Adjustable 1 Output 1A 16-LFCSP (3x3),,,3 mm,3 mm,296.08
LTC4217CDHC#TRPBF,Analog Devices Inc.,Integrated Circuits (ICs),"Hot Swap Controller, Monitor 1 Channel General Purpose 16-DFN (5x3)",,,5 mm,3 mm,298.03
LTC4219CDHC-12#TRPBF,Analog Devices Inc.,Integrated Circuits (ICs),"Hot Swap Controller, Monitor 1 Channel General Purpose 16-DFN (5x3)",,,5 mm,3 mm,298.03
LTC4219CDHC-12#PBF,Analog Devices Inc.,Integrated Circuits (ICs),"Hot Swap Controller, Monitor 1 Channel General Purpose 16-DFN (5x3)",,,5 mm,3 mm,298.03
SP2000-0.015-00-54,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad White 19.05mm x 12.70mm Rectangular,3.5W/m-K,"0.0150"" (0.381mm)",,,317.2
MAX5954AETX+T,Analog Devices Inc./Maxim Integrated,Integrated Circuits (ICs),Hot Plug Controller 3 Channel PCI Express® 36-TQFN (6x6),,,6 mm,6 mm,326.95
MAX5954AETX+,Analog Devices Inc./Maxim Integrated,Integrated Circuits (ICs),Hot Plug Controller 3 Channel PCI Express® 36-TQFN (6x6),,,6 mm,6 mm,327.6
ADP1762ACPZ-R7,Analog Devices Inc.,Integrated Circuits (ICs),Linear Voltage Regulator IC Positive Adjustable 1 Output 2A 16-LFCSP (3x3),,,3 mm,3 mm,333.13
ADP1762ACPZ-1.2-R7,Analog Devices Inc.,Integrated Circuits (ICs),Linear Voltage Regulator IC Positive Fixed 1 Output 2A 16-LFCSP (3x3),,,3 mm,3 mm,333.13
ADP1762ACPZ-1.3-R7,Analog Devices Inc.,Integrated Circuits (ICs),Linear Voltage Regulator IC Positive Fixed 1 Output 2A 16-LFCSP (3x3),,,3 mm,3 mm,333.13
LTC4217IDHC-12#PBF,Analog Devices Inc.,Integrated Circuits (ICs),"Hot Swap Controller, Monitor 1 Channel General Purpose 16-DFN (5x3)",,,5 mm,3 mm,337.68
LTC4217IDHC#TRPBF,Analog Devices Inc.,Integrated Circuits (ICs),"Hot Swap Controller, Monitor 1 Channel General Purpose 16-DFN (5x3)",,,5 mm,3 mm,337.68
LTC4217IDHC#PBF,Analog Devices Inc.,Integrated Circuits (ICs),"Hot Swap Controller, Monitor 1 Channel General Purpose 16-DFN (5x3)",,,5 mm,3 mm,337.68
GP1500-0.080-02-0404,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Black 101.60mm x 101.60mm Square Tacky - Both Sides,1.5W/m-K,"0.0800"" (2.032mm)",,,338.65
LTC4232IDHC#PBF,Analog Devices Inc.,Integrated Circuits (ICs),"Hot Swap Controller, Monitor 1 Channel General Purpose 16-DFN (5x3)",,,5 mm,3 mm,351.0
LTC4219IDHC-12#PBF,Analog Devices Inc.,Integrated Circuits (ICs),"Hot Swap Controller, Monitor 1 Channel General Purpose 16-DFN (5x3)",,,5 mm,3 mm,351.0
MAX3395EETC+T,Analog Devices Inc./Maxim Integrated,Integrated Circuits (ICs),Voltage Level Translator Bidirectional 1 Circuit 4 Channel 6Mbps 12-TQFN (4x4),,,4 mm,4 mm,354.25
ADP1763ACPZ-R7,Analog Devices Inc.,Integrated Circuits (ICs),Linear Voltage Regulator IC Positive Adjustable 1 Output 3A 16-LFCSP (3x3),,,3 mm,3 mm,368.23
ADP1763ACPZ-1.0-R7,Analog Devices Inc.,Integrated Circuits (ICs),Linear Voltage Regulator IC Positive Fixed 1 Output 3A 16-LFCSP (3x3),,,3 mm,3 mm,368.23
TG-A6200-100-100-1.0,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Blue 100.00mm x 100.00mm Square Tacky - Both Sides,6.2W/m-K,"0.0394"" (1.000mm)",,,378.95
TG-A1780-40-40-0.5,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Gray 40.00mm x 40.00mm Square,17.8W/m-K,"0.0197"" (0.500mm)",,,384.48
GP1500-0.020-02-0404,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Black 101.60mm x 101.60mm Square Tacky - Both Sides,1.5W/m-K,"0.0200"" (0.508mm)",,,403.0
QB0603A25WYT,KYOCERA AVX,"Fans, Blowers, Thermal Management",Thermal Pad 1.52mm x 0.76mm Rectangular,"50W/m-K, 76W/m-K","0.0025"" (0.064mm)",,,416.0
A18197-05,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Gray 228.60mm x 228.60mm Square Tacky - Both Sides,5.3W/m-K,"0.0049"" (0.125mm)",,,442.33
69-13-42348-T412,Parker Chomerics,"Fans, Blowers, Thermal Management",Thermal Pad Gray 28.00mm x 28.00mm Square Adhesive - Both Sides,1.4W/m-K,"0.0091"" (0.230mm)",,,468.98
T62-310-310-0.13,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Black 310.00mm x 310.00mm Square,20W/m-K,"0.0050"" (0.127mm)",,,489.78
A18197-08,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Gray 228.60mm x 228.60mm Square Tacky - Both Sides,5.3W/m-K,"0.0079"" (0.200mm)",,,500.83
EYG-S091210,Panasonic Electronic Components,"Fans, Blowers, Thermal Management",Thermal Pad Gray 115.00mm x 90.00mm Rectangular,-,"0.0039"" (0.100mm)",,,501.48
ADP1764ACPZ-R7,Analog Devices Inc.,Integrated Circuits (ICs),Linear Voltage Regulator IC Positive Adjustable 1 Output 4A 16-LFCSP (3x3),,,3 mm,3 mm,505.05
TG-A6200-150-150-0.5,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Blue 150.00mm x 150.00mm Square Tacky - Both Sides,6.2W/m-K,"0.0197"" (0.500mm)",,,519.03
A18197-10,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Gray 228.60mm x 228.60mm Square Tacky - Both Sides,5.3W/m-K,"0.0098"" (0.250mm)",,,541.13
A17916-08,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Gray 228.60mm x 228.60mm Square Tacky - Both Sides,2.0W/m-K,"0.0800"" (2.032mm)",,,541.78
BP100-0.005-00-1112,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad White 304.80mm x 279.40mm Rectangular Adhesive - Both Sides,0.8W/m-K,"0.0050"" (0.127mm)",,,550.55
T62-1-310-310-0.16,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Black 310.00mm x 310.00mm Square Adhesive - One Side,15W/m-K,"0.0063"" (0.160mm)",,,573.95
ADP1765ACPZ-R7,Analog Devices Inc.,Integrated Circuits (ICs),Linear Voltage Regulator IC Positive Adjustable 1 Output 5A 16-LFCSP (3x3),,,3 mm,3 mm,639.28
ADP1765ACPZ-1.0-R7,Analog Devices Inc.,Integrated Circuits (ICs),Linear Voltage Regulator IC Positive Fixed 1 Output 5A 16-LFCSP (3x3),,,3 mm,3 mm,639.28
GP1500-0.040-02-0404,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Black 101.60mm x 101.60mm Square Tacky - Both Sides,1.5W/m-K,"0.0400"" (1.016mm)",,,663.98
GT10D-300-300-0.25-1A,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Pink 300.00mm x 300.00mm Square Adhesive - One Side,1.5W/m-K,"0.0098"" (0.250mm)",,,684.78
SF400-505005,Same Sky (Formerly CUI Devices),"Fans, Blowers, Thermal Management",Thermal Pad Gray 50.00mm x 50.00mm Square Tacky - Both Sides,2.5W/m-K,"0.0197"" (0.500mm)",,,703.3
MAX9709ETN+D,Analog Devices Inc./Maxim Integrated,Integrated Circuits (ICs),Amplifier IC 1-Channel (Mono) or 2-Channel (Stereo) Class D 56-TQFN (8x8),,,8 mm,8 mm,708.5
GPVOUS-0.020-01-0816,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Pink 406.40mm x 203.20mm Rectangular Tacky - One Side,1.0W/m-K,"0.0200"" (0.508mm)",,,718.25
A17733-04,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Yellow 228.60mm x 228.60mm Square Adhesive - One Side,1.2W/m-K,"0.0400"" (1.016mm)",,,727.68
2191342,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Gray 304.80mm x 292.10mm Rectangular,0.9W/m-K,"0.0060"" (0.152mm)",,,728.98
TG-A1250-125-125-0.5,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Green 125.00mm x 125.00mm Square,12.5W/m-K,"0.0197"" (0.500mm)",,,736.45
69-12-42355-1674,Parker Chomerics,"Fans, Blowers, Thermal Management",Thermal Pad Blue 203.20mm x 203.20mm Square Adhesive - One Side,1.0W/m-K,"0.0100"" (0.254mm)",,,761.8
TG-A6200-100-100-2.5,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Blue 100.00mm x 100.00mm Square Tacky - Both Sides,6.2W/m-K,"0.0984"" (2.500mm)",,,764.4
A17084-06,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Brown 457.20mm x 304.80mm Rectangular,-,"0.0090"" (0.229mm)",,,780.65
GP1500-0.040-02-0816,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Black 406.40mm x 203.20mm Rectangular Tacky - Both Sides,1.5W/m-K,"0.0400"" (1.016mm)",,,790.08
GPVOUS-0.040-01-0816,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Pink 406.40mm x 203.20mm Rectangular Tacky - One Side,1.0W/m-K,"0.0400"" (1.016mm)",,,802.1
TG-A6200-150-150-1.0,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Blue 150.00mm x 150.00mm Square Tacky - Both Sides,6.2W/m-K,"0.0394"" (1.000mm)",,,814.78
A15993-00,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Gray 228.60mm x 228.60mm Square Tacky - Both Sides,3.0W/m-K,"0.0200"" (0.508mm)",,,827.78
A18172-10,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Gray 228.60mm x 228.60mm Square Tacky - Both Sides,7.5W/m-K,"0.0098"" (0.250mm)",,,865.15
TG-A1250-100-100-1.0,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Green 100.00mm x 100.00mm Square,12.5W/m-K,"0.0394"" (1.000mm)",,,902.53
BP100-0.011-00-1010,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad White 254.00mm x 254.00mm Square Adhesive - Both Sides,0.8W/m-K,"0.0110"" (0.279mm)",,,922.35
EYG-S121807,Panasonic Electronic Components,"Fans, Blowers, Thermal Management",Thermal Pad Gray 180.00mm x 115.00mm Rectangular,-,"0.0028"" (0.070mm)",,,941.2
PL-1-5-1016-H,Wakefield Thermal Solutions,"Fans, Blowers, Thermal Management",Thermal Pad Gold 101.60mm x 101.60mm Square Tacky - One Side,5.0W/m-K,"0.0390"" (0.991mm)",,,945.1
EYG-S0918ZLX2,Panasonic Electronic Components,"Fans, Blowers, Thermal Management",Thermal Pad Gray 180.00mm x 90.00mm Rectangular,-,"0.0079"" (0.200mm)",,,958.75
EYG-S121810,Panasonic Electronic Components,"Fans, Blowers, Thermal Management",Thermal Pad Gray 180.00mm x 115.00mm Rectangular,-,"0.0039"" (0.100mm)",,,964.6
GP1500R-0.020-02-0816,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Black 406.40mm x 203.20mm Rectangular Tacky - Both Sides,1.5W/m-K,"0.0200"" (0.508mm)",,,966.88
4051210297017,Würth Elektronik,"Fans, Blowers, Thermal Management",Thermal Pad 297.00mm x 210.00mm Rectangular Acrylic,1800W/m-K,"0.0015"" (0.037mm)",,,968.83
BP100-0.008-00-1010,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad White 254.00mm x 254.00mm Square Adhesive - Both Sides,0.8W/m-K,"0.0080"" (0.203mm)",,,980.53
2191191,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Pink 406.40mm x 203.20mm Rectangular Tacky - One Side,1.0W/m-K,"0.0600"" (1.524mm)",,,1007.5
69-13-42350-T412,Parker Chomerics,"Fans, Blowers, Thermal Management",Thermal Pad Gray 152.40mm x 152.40mm Square Adhesive - Both Sides,1.4W/m-K,"0.0091"" (0.230mm)",,,1018.23
A14556-01,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Blue 228.60mm x 228.60mm Square Tacky - Both Sides,2.8W/m-K,"0.0200"" (0.508mm)",,,1021.15
A17690-02,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Pink 228.60mm x 228.60mm Square Tacky - One Side,5.0W/m-K,"0.0200"" (0.508mm)",,,1049.1
SPK10-0.006-00-11.512,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Beige 304.80mm x 292.10mm Rectangular,1.3W/m-K,"0.0060"" (0.152mm)",,,1079.65
A10464-07,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Gray 609.60mm x 457.20mm Rectangular,5.0W/m-K,"0.0200"" (0.508mm)",,,1130.03
GP1500-0.080-02-0816,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Black 406.40mm x 203.20mm Rectangular Tacky - Both Sides,1.5W/m-K,"0.0800"" (2.032mm)",,,1178.45
TG-A486G-150-150-1.0-1A,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Gray 150.00mm x 150.00mm Square Adhesive - One Side,6.3W/m-K,"0.0394"" (1.000mm)",,,1213.55
COH-4065LVC-200-10,Taica North America Corporation,"Fans, Blowers, Thermal Management",Thermal Pad Reddish Brown 200.00mm x 200.00mm Square Tacky - Both Sides,2.2W/m-K,"0.0390"" (0.991mm)",,,1177.47
SP900S-0.009-AC-1212,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Pink 304.80mm x 304.80mm Square Adhesive - One Side,1.6W/m-K,"0.0090"" (0.229mm)",,,1232.4
A14692-30,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Amber 457.20mm x 279.40mm Rectangular,-,"0.0020"" (0.051mm)",,,1273.68
A17653-03,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Pink 228.60mm x 228.60mm Square Tacky - Both Sides,5.0W/m-K,"0.0300"" (0.762mm)",,,1312.68
69-11-42341-T558,Parker Chomerics,"Fans, Blowers, Thermal Management",Thermal Pad Gray 152.40mm x 152.40mm Square Tacky - Both Sides,-,"0.0045"" (0.115mm)",,,1341.28
2165804,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Beige 304.80mm x 292.10mm Rectangular Adhesive - One Side,1.3W/m-K,"0.0060"" (0.152mm)",,,1439.1
5549S-05,3M,"Fans, Blowers, Thermal Management",Thermal Pad Gray 210.00mm x 155.00mm Rectangular Tacky - One Side,3.5W/m-K,"0.0197"" (0.500mm)",,,1445.28
61-02-0909-G579,Parker Chomerics,"Fans, Blowers, Thermal Management",Thermal Pad Pink 228.60mm x 228.60mm Square,3.0W/m-K,"0.0200"" (0.508mm)",,,1467.05
A18330-04,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Gray 127.00mm x 76.00mm Rectangular,34W/m-K,"0.0394"" (1.000mm)",,,1483.95
8810-0.5-5,3M (TC),"Fans, Blowers, Thermal Management",Thermal Pad White 4.57m x 12.70mm Rectangular Adhesive - Both Sides,0.6W/m-K,"0.0098"" (0.250mm)",,,1510.93
TG-APC94-150-150-2.0-0,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Red 150.00mm x 150.00mm Square,4.0W/m-K,"0.0790"" (2.000mm)",,,1553.83
A15340-01,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Green 228.60mm x 228.60mm Square,1.2W/m-K,"0.200"" (5.08mm)",,,1587.95
GP1500-0.125-02-0816,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Black 406.40mm x 203.20mm Rectangular Tacky - Both Sides,1.5W/m-K,"0.125"" (3.18mm)",,,1638.0
A10464-10,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Gray 609.60mm x 457.20mm Rectangular Adhesive - One Side,5.0W/m-K,"0.0200"" (0.508mm)",,,1641.9
EYG-S182307,Panasonic Electronic Components,"Fans, Blowers, Thermal Management",Thermal Pad Gray 230.00mm x 180.00mm Rectangular,-,"0.0028"" (0.070mm)",,,1673.1
5583S 210 MM X 300 MM X 2.0 MM,3M,"Fans, Blowers, Thermal Management",Thermal Pad White 300.00mm x 210.00mm Rectangular Tacky - One Side,1.0W/m-K,"0.0790"" (2.000mm)",,,1682.2
A18213-02,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Gray 229.00mm x 229.00mm Square,10W/m-K,"0.0197"" (0.500mm)",,,1685.45
TG-A1450-100-100-1.0,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Red 100.00mm x 100.00mm Square,14.5W/m-K,"0.0394"" (1.000mm)",,,1703.98
A17653-04,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Pink 228.60mm x 228.60mm Square Tacky - Both Sides,5.0W/m-K,"0.0400"" (1.016mm)",,,1716.0
TG-A1250-100-100-2.0,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Green 100.00mm x 100.00mm Square,12.5W/m-K,"0.0790"" (2.000mm)",,,1716.98
A10092-01,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Pink 203.20mm x 203.20mm Square,6.0W/m-K,"0.0100"" (0.254mm)",,,1724.13
20265,Vicor Corporation,Power Supplies - Board Mount,THERMAL PAD FOR MICRORAM 1=10PCS,,,,,1729.98
A15340-03,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Green 228.60mm x 228.60mm Square Tacky - One Side,1.2W/m-K,"0.200"" (5.08mm)",,,1735.18
A16367-02,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Pink 228.60mm x 215.90mm Rectangular Tacky - One Side,2.8W/m-K,"0.0200"" (0.508mm)",,,1753.7
5519 210 MM X 155 MM X 1.0 MM,3M,"Fans, Blowers, Thermal Management",Thermal Pad Gray 210.00mm x 155.00mm Rectangular Tacky - Both Sides,4.9W/m-K,"0.0390"" (0.991mm)",,,1785.23
GP1000SF-0.020-02-0816,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Green 406.40mm x 203.20mm Rectangular Tacky - Both Sides,0.9W/m-K,"0.0200"" (0.508mm)",,,1800.5
EYG-S182307DP,Panasonic Electronic Components,"Fans, Blowers, Thermal Management",Thermal Pad Gray 230.00mm x 180.00mm Rectangular,-,"0.0028"" (0.070mm)",,,1832.68
